5566250450935867|10|2032|647
5566250450974403|11|2032|933
5566250450968454|02|2032|459
5566250450924002|01|2029|145
5566250450901174|09|2027|375
5566250450986555|02|2031|559
5566250450972514|02|2027|499
5566250450970344|11|2024|380
5566250450943424|04|2027|646
5566250450983446|12|2025|494
5566250450912452|06|2032|460
5566250450950288|06|2026|742
5566250450916073|03|2029|927
5566250450985474|07|2025|260
5566250450906207|07|2030|544
5566250450981143|08|2025|955
5566250450924606|06|2028|434
5566250450973561|05|2025|038
5566250450981473|04|2026|895
5566250450907221|05|2024|047
5566250450983115|04|2031|428
5566250450987454|01|2030|009
5566250450906611|07|2030|988
5566250450954041|06|2028|851
5566250450924150|07|2030|157
5566250450968660|01|2029|924
5566250450980376|05|2027|964
5566250450901653|07|2031|099
5566250450961368|03|2024|014
5566250450938317|09|2024|801
5566250450918830|09|2024|849
5566250450922766|10|2030|943
5566250450968041|02|2025|660
5566250450984402|01|2026|246
5566250450932575|08|2027|723
5566250450962127|09|2025|153
5566250450955253|07|2028|566
5566250450931866|05|2024|724
5566250450948274|03|2028|074
5566250450962028|01|2028|610
5566250450930140|04|2029|439
5566250450970088|09|2028|454
5566250450920216|11|2026|678
5566250450984584|08|2027|589
5566250450906140|07|2032|415
5566250450944042|02|2032|442
5566250450938580|09|2029|267
5566250450904103|04|2032|792
5566250450947417|06|2025|953
5566250450901265|09|2032|320
5566250450964610|07|2027|486
5566250450941022|11|2028|461
5566250450916677|07|2029|481
5566250450946260|03|2026|202
5566250450940313|06|2030|495
5566250450944588|06|2027|577
5566250450901406|05|2032|548
5566250450963331|08|2032|166
5566250450906280|04|2029|801
5566250450946468|05|2024|647
5566250450907684|07|2029|682
5566250450903055|05|2031|627
5566250450985243|02|2024|016
5566250450966425|06|2024|139
5566250450921180|07|2026|342
5566250450913443|02|2029|890
5566250450948076|09|2025|499
5566250450964826|03|2024|028
5566250450911512|06|2028|112
5566250450904160|04|2030|203
5566250450914565|09|2026|449
5566250450915687|11|2028|171
5566250450977877|12|2028|173
5566250450901224|09|2030|732
5566250450982067|05|2031|526
5566250450933714|08|2032|089
5566250450952607|06|2025|493
5566250450985128|06|2028|408
5566250450953183|02|2031|814
5566250450944166|11|2027|720
5566250450918442|08|2024|970
5566250450907205|05|2027|831
5566250450921131|12|2031|812
5566250450920760|04|2029|729
5566250450914060|03|2028|693
5566250450934258|09|2030|534
5566250450937541|06|2029|761
5566250450931254|12|2029|291
5566250450936428|10|2028|128
5566250450951351|05|2024|606
5566250450935453|11|2030|538
5566250450948001|08|2028|189
5566250450935008|04|2028|237
5566250450947086|12|2031|122
5566250450977323|11|2026|756
5566250450973504|08|2032|990
5566250450987868|02|2030|435
5566250450948241|07|2028|765
5566250450956160|04|2032|745
5566250450941683|05|2032|059
